window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue
3,Boost,15,76.5625,7.417500,83.98,820,0
3,Boost,15,76.5625,2.492500,74.07,812,0
3,Boost,18,71.875,18.085000,89.96,810,0
3,Boost,13,79.6875,5.807500,73.88,810,0
3,Boost,13,79.6875,5.807500,73.88,810,0
3,Boost,13,79.6875,5.807500,73.88,810,0
3,Boost,14,78.125,4.445000,73.68,808,0
3,Boost,15,76.5625,2.882500,73.68,808,0
3,Boost,16,75.0,1.510000,73.49,806,0
3,Boost,14,78.125,4.835000,73.29,805,0
3,Boost,16,75.0,2.100000,72.9,801,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,13,79.6875,16.372500,96.06,800,0
3,Boost,14,78.125,17.685000,95.81,799,0
3,Boost,16,75.0,2.340000,72.66,794,0
3,Boost,18,71.875,2.275000,74.15,792,0
3,Boost,16,75.0,2.990000,72.01,792,0
3,Boost,18,71.875,22.955000,94.83,792,0
3,Boost,18,71.875,1.025000,72.9,791,0
3,Boost,20,68.75,2.730000,71.48,790,0
3,Boost,16,75.0,2.490000,72.51,787,0
3,Boost,13,79.6875,14.402500,94.09,786,0
3,Boost,13,79.6875,14.402500,94.09,786,0
3,Boost,14,78.125,8.365000,86.49,785,0
3,Boost,12,81.25,12.590000,93.84,785,0
3,Boost,14,78.125,15.715000,93.84,784,0
3,Boost,14,78.125,15.715000,93.84,784,0
3,Boost,14,78.125,15.225000,93.35,781,0
3,Boost,17,73.4375,3.172500,76.61,779,0
3,Boost,20,68.75,2.400000,71.15,776,0
3,Boost,16,75.0,6.250000,68.75,775,0
3,Boost,19,70.3125,0.447500,70.76,771,0
3,Boost,14,78.125,6.795000,84.92,769,0
3,Boost,11,82.8125,2.227500,85.04,761,0
3,Boost,21,67.1875,1.952500,69.14,761,0
3,Boost,21,67.1875,17.532500,84.72,760,0
3,Boost,17,73.4375,7.892500,81.33,756,0
3,Boost,23,64.0625,5.727500,69.79,755,0
3,Boost,20,68.75,5.960000,74.71,754,0
3,Boost,16,75.0,16.380000,91.38,754,0
3,Boost,23,64.0625,5.337500,69.4,751,0
3,Boost,19,70.3125,12.177500,82.49,746,0
3,Boost,13,79.6875,15.032500,94.72,728,0
3,Boost,11,82.8125,10.857500,93.67,722,0
3,Boost,11,82.8125,10.857500,93.67,722,0
3,Boost,12,81.25,11.890000,93.14,719,0
3,Boost,11,82.8125,10.327500,93.14,718,0
3,Boost,16,75.0,10.220000,85.22,715,0
3,Boost,16,75.0,19.850000,94.85,715,0
3,Boost,18,71.875,14.575000,86.45,714,0
3,Boost,11,82.8125,9.537500,92.35,713,0
3,Boost,14,78.125,13.435000,91.56,711,0
3,Boost,11,82.8125,9.267500,92.08,710,0
3,Boost,13,79.6875,12.132500,91.82,710,0
3,Boost,16,75.0,16.560000,91.56,709,0
3,Boost,11,82.8125,8.747500,91.56,708,0
3,Boost,11,82.8125,8.747500,91.56,708,0
3,Boost,14,78.125,15.375000,93.5,706,0
3,Boost,12,81.25,10.310000,91.56,706,0
3,Boost,15,76.5625,14.467500,91.03,704,0
3,Boost,17,73.4375,18.972500,92.41,704,0
3,Boost,12,81.25,10.040000,91.29,704,0
3,Boost,19,70.3125,13.927500,84.24,704,0
3,Boost,13,79.6875,11.082500,90.77,703,0
3,Boost,13,79.6875,10.282500,89.97,700,0
3,Boost,14,78.125,11.585000,89.71,697,0
3,Boost,14,78.125,11.585000,89.71,694,0
3,Boost,20,68.75,24.320000,93.07,693,0
3,Boost,20,68.75,0.220000,68.97,691,0
3,Boost,16,75.0,3.250000,71.75,685,0
3,Boost,17,73.4375,15.212500,88.65,684,0
3,Boost,19,70.3125,9.217500,79.53,684,0
3,Boost,16,75.0,2.930000,72.07,683,0
3,Boost,17,73.4375,11.082500,84.52,681,0
3,Boost,17,73.4375,1.337500,72.1,649,0
3,Boost,23,64.0625,19.937500,84,648,0
3,Boost,17,73.4375,7.262500,80.7,646,0
3,Boost,20,68.75,14.630000,83.38,645,0
3,Boost,18,71.875,12.035000,83.91,641,0
3,Boost,19,70.3125,14.237500,84.55,641,0
3,Boost,19,70.3125,14.237500,84.55,641,0
3,Boost,17,73.4375,10.612500,84.05,641,0
3,Boost,19,70.3125,14.507500,84.82,641,0
3,Boost,17,73.4375,10.472500,83.91,640,0
3,Boost,16,75.0,6.770000,81.77,640,0
3,Boost,20,68.75,15.800000,84.55,640,0
3,Boost,18,71.875,12.405000,84.28,640,0
3,Boost,18,71.875,10.925000,82.8,640,0
3,Boost,21,67.1875,15.402500,82.59,639,0
3,Boost,19,70.3125,13.967500,84.28,638,0
3,Boost,20,68.75,15.530000,84.28,638,0
3,Boost,19,70.3125,12.277500,82.59,638,0
3,Boost,18,71.875,12.135000,84.01,637,0
3,Boost,20,68.75,14.990000,83.74,637,0
3,Boost,19,70.3125,12.537500,82.85,636,0
3,Boost,16,75.0,9.050000,84.05,636,0
3,Boost,16,75.0,7.320000,82.32,636,0
3,Boost,21,67.1875,16.552500,83.74,635,0
3,Boost,18,71.875,11.595000,83.47,634,0
3,Boost,20,68.75,14.490000,83.24,633,0
3,Boost,19,70.3125,12.927500,83.24,633,0
3,Boost,17,73.4375,10.262500,83.7,632,0
3,Boost,18,71.875,11.505000,83.38,631,0
3,Boost,19,70.3125,13.157500,83.47,630,0
3,Boost,16,75.0,21.260000,96.26,629,0
3,Boost,20,68.75,13.960000,82.71,627,0
3,Boost,23,64.0625,18.867500,82.93,627,0
3,Boost,20,68.75,14.180000,82.93,625,0
3,Boost,16,75.0,6.870000,81.87,622,0
3,Boost,17,73.4375,9.492500,82.93,618,0
3,Boost,14,78.125,15.335000,93.46,610,0
3,Boost,19,70.3125,9.087500,79.4,591,0
3,Boost,25,60.9375,10.297500,50.64,572,0
3,Boost,24,62.5,9.910000,52.59,568,0
3,Boost,21,67.1875,17.097500,50.09,566,0
3,Boost,18,71.875,1.615000,70.26,563,0
3,Boost,18,71.875,1.615000,70.26,563,0
3,Boost,24,62.5,12.040000,50.46,563,0
3,Boost,28,56.25,3.760000,52.49,563,0
3,Boost,27,57.8125,1.472500,56.34,560,0
3,Boost,29,54.6875,1.907500,52.78,560,0
3,Boost,23,64.0625,13.872500,50.19,559,0
3,Boost,20,68.75,17.890000,50.86,557,0
3,Boost,18,71.875,16.485000,55.39,556,0
3,Boost,20,68.75,18.560000,50.19,556,0
3,Boost,19,70.3125,12.927500,83.24,555,0
3,Boost,25,60.9375,7.117500,53.82,554,0
3,Boost,27,57.8125,5.792500,52.02,553,0
3,Boost,26,59.375,7.535000,51.84,553,0
3,Boost,21,67.1875,14.417500,52.77,553,0
3,Boost,24,62.5,10.480000,52.02,553,0
3,Boost,22,65.625,13.485000,52.14,552,0
3,Boost,20,68.75,1.000000,69.75,552,0
3,Boost,18,71.875,12.355000,84.23,549,0
3,Boost,25,60.9375,9.347500,51.59,548,0
3,Boost,22,65.625,13.735000,51.89,546,0
3,Boost,20,68.75,16.860000,51.89,546,0
3,Boost,21,67.1875,15.297500,51.89,546,0
3,Boost,24,62.5,10.010000,72.51,543,0
3,Boost,22,65.625,8.365000,57.26,542,0
3,Boost,23,64.0625,13.202500,50.86,541,0
3,Boost,23,64.0625,13.202500,50.86,541,0
3,Boost,24,62.5,10.190000,52.31,534,0
3,Boost,19,70.3125,13.507500,83.82,533,0
3,Boost,25,60.9375,2.627500,58.31,531,0
3,Boost,20,68.75,14.530000,83.28,524,0
3,Boost,24,62.5,4.110000,58.39,525,2e-180
3,Boost,25,60.9375,8.497500,52.44,526,9e-180
3,Boost,22,65.625,16.755000,48.87,526,5e-179
3,Boost,15,76.5625,6.767500,83.33,516,9e-179
3,Boost,22,65.625,8.155000,57.47,521,1e-178
3,Boost,20,68.75,18.560000,50.19,522,4e-178
3,Boost,19,70.3125,19.732500,50.58,522,1e-177
3,Boost,24,62.5,11.480000,51.02,521,3e-177
3,Boost,24,62.5,9.040000,71.54,513,5e-177
3,Boost,22,65.625,12.205000,53.42,516,1e-175
3,Boost,19,70.3125,0.957500,71.27,508,7e-175
3,Boost,22,65.625,15.335000,50.29,514,9e-175
3,Boost,25,60.9375,7.497500,53.44,514,1e-174
3,Boost,18,71.875,22.555000,49.32,514,1e-174
3,Boost,17,73.4375,22.847500,50.59,514,1e-174
3,Boost,17,73.4375,22.847500,50.59,514,1e-174
3,Boost,17,73.4375,22.847500,50.59,514,1e-174
3,Boost,23,64.0625,14.162500,49.9,513,6e-174
3,Boost,26,59.375,9.375000,50,512,7e-174
3,Boost,19,70.3125,20.602500,49.71,511,2e-173
3,Boost,19,70.3125,20.602500,49.71,511,2e-173
3,Boost,19,70.3125,20.602500,49.71,511,2e-173
3,Boost,19,70.3125,20.602500,49.71,511,2e-173
3,Boost,19,70.3125,20.602500,49.71,511,2e-173
3,Boost,19,70.3125,20.602500,49.71,511,3e-173
3,Boost,22,65.625,15.225000,50.4,510,3e-173
3,Boost,25,60.9375,11.507500,49.43,509,2e-172
3,Boost,19,70.3125,11.997500,82.31,500,3e-172
3,Boost,26,59.375,8.025000,51.35,508,4e-172
3,Boost,21,67.1875,16.497500,50.69,508,4e-172
3,Boost,21,67.1875,16.697500,50.49,508,5e-172
3,Boost,22,65.625,14.605000,51.02,507,6e-172
3,Boost,26,59.375,10.165000,49.21,507,1e-171
3,Boost,24,62.5,12.100000,50.4,506,1e-171
3,Boost,24,62.5,11.720000,50.78,505,3e-171
3,Boost,22,65.625,16.305000,49.32,505,5e-171
3,Boost,23,64.0625,15.032500,49.03,505,6e-171
3,Boost,21,67.1875,18.157500,49.03,504,7e-171
3,Boost,22,65.625,16.305000,49.32,504,8e-171
3,Boost,23,64.0625,14.652500,49.41,504,1e-170
3,Boost,24,62.5,13.670000,48.83,504,1e-170
3,Boost,19,70.3125,19.922500,50.39,503,2e-170
3,Boost,22,65.625,16.505000,49.12,503,3e-170
3,Boost,22,65.625,15.525000,50.1,502,5e-170
3,Boost,24,62.5,13.090000,49.41,503,5e-170
3,Boost,25,60.9375,11.917500,49.02,506,5e-170
3,Boost,26,59.375,10.455000,48.92,503,5e-170
3,Boost,22,65.625,15.525000,50.1,502,5e-170
3,Boost,24,62.5,13.580000,48.92,502,6e-170
3,Boost,25,60.9375,11.817500,49.12,501,1e-169
3,Boost,22,65.625,16.115000,49.51,501,1e-169
3,Boost,23,64.0625,7.022500,57.04,498,1e-169
3,Boost,21,67.1875,17.677500,49.51,501,2e-169
3,Boost,24,62.5,11.910000,50.59,501,2e-169
3,Boost,24,62.5,12.990000,49.51,501,2e-169
3,Boost,22,65.625,13.655000,51.97,498,3e-169
3,Boost,26,59.375,3.395000,55.98,497,4e-169
3,Boost,20,68.75,18.950000,49.8,500,4e-169
3,Boost,19,70.3125,12.387500,82.7,491,7e-169
3,Boost,23,64.0625,14.562500,49.5,501,3e-168
3,Boost,25,60.9375,12.687500,48.25,498,3e-168
3,Boost,24,62.5,13.380000,49.12,498,3e-168
3,Boost,26,59.375,10.455000,48.92,498,4e-168
3,Boost,20,68.75,19.540000,49.21,497,5e-168
3,Boost,20,68.75,19.730000,49.02,497,8e-168
3,Boost,20,68.75,19.730000,49.02,496,8e-168
3,Boost,23,64.0625,15.422500,48.64,497,9e-168
3,Boost,24,62.5,14.430000,48.07,496,1e-167
3,Boost,21,67.1875,18.057500,49.13,497,2e-167
3,Boost,21,67.1875,17.387500,49.8,496,2e-167
3,Boost,21,67.1875,18.947500,48.24,496,2e-167
3,Boost,24,62.5,14.060000,48.44,495,6e-167
3,Boost,23,64.0625,15.732500,48.33,495,6e-167
3,Boost,24,62.5,14.620000,47.88,494,7e-167
3,Boost,26,59.375,10.835000,48.54,494,7e-167
3,Boost,26,59.375,10.855000,48.52,494,1e-166
3,Boost,22,65.625,9.925000,55.7,491,1e-166
3,Boost,26,59.375,11.325000,48.05,493,2e-166
3,Boost,27,57.8125,9.472500,48.34,493,2e-166
3,Boost,26,59.375,8.015000,51.36,493,3e-166
3,Boost,25,60.9375,12.687500,48.25,493,3e-166
3,Boost,21,67.1875,17.777500,49.41,492,5e-166
3,Boost,24,62.5,14.820000,47.68,492,6e-166
3,Boost,23,64.0625,16.012500,48.05,492,9e-166
3,Boost,23,64.0625,7.062500,57,486,2e-165
3,Boost,25,60.9375,5.837500,55.1,488,2e-165
3,Boost,22,65.625,10.095000,55.53,487,4e-165
3,Boost,24,62.5,6.280000,56.22,486,7e-165
3,Boost,21,67.1875,9.867500,57.32,484,1e-164
3,Boost,21,67.1875,18.627500,48.56,487,1e-163
3,Boost,27,57.8125,6.212500,51.6,483,1e-162
3,Boost,25,60.9375,6.782500,67.72,478,4e-162
3,Boost,20,68.75,18.860000,49.89,480,4e-162
3,Boost,23,64.0625,12.702500,51.36,476,8e-161
3,Boost,22,65.625,17.045000,82.67,468,2e-160
3,Boost,23,64.0625,17.772500,46.29,468,7e-157
3,Boost,25,60.9375,14.647500,46.29,467,1e-156
3,Boost,26,59.375,12.085000,47.29,464,3e-155
3,Boost,18,71.875,10.345000,82.22,456,4e-155
3,Boost,16,75.0,26.210000,48.79,476,1e-154
3,Boost,24,62.5,13.850000,48.65,462,1e-154
3,Boost,18,71.875,25.525000,46.35,462,3e-154
3,Boost,23,64.0625,10.522500,53.54,458,6e-154
3,Boost,21,67.1875,21.127500,46.06,458,8e-153
3,Boost,25,60.9375,11.827500,49.11,456,9e-153
3,Boost,25,60.9375,7.212500,68.15,449,4e-152
3,Boost,24,62.5,8.980000,53.52,452,9e-152
3,Boost,24,62.5,15.860000,46.64,450,3e-150
3,Boost,25,60.9375,16.177500,44.76,434,6e-143
3,Boost,19,70.3125,20.797500,91.11,419,1e-141
3,Boost,20,68.75,19.530000,49.22,424,2e-140
3,Boost,26,59.375,7.905000,51.47,421,1e-139
3,Boost,21,67.1875,7.632500,74.82,412,7e-139
3,Boost,29,54.6875,36.422500,91.11,419,2e-138
3,Boost,25,60.9375,15.047500,45.89,421,2e-138
3,Boost,23,64.0625,17.717500,81.78,410,8e-138
3,Boost,21,67.1875,7.542500,74.73,409,1e-137
3,Boost,20,68.75,24.710000,44.04,416,2e-136
3,Boost,24,62.5,12.150000,50.35,412,6e-136
3,Boost,21,67.1875,21.897500,45.29,412,4e-135
3,Boost,21,67.1875,21.897500,45.29,412,4e-135
3,Boost,21,67.1875,21.897500,45.29,412,4e-135
3,Boost,21,67.1875,21.897500,45.29,412,4e-135
3,Boost,21,67.1875,21.897500,45.29,412,4e-135
3,Boost,21,67.1875,20.307500,46.88,410,1e-134
3,Boost,27,57.8125,14.062500,43.75,407,5e-133
3,Boost,26,59.375,15.155000,44.22,405,2e-132
3,Boost,21,67.1875,24.557500,42.63,405,3e-132
3,Boost,23,64.0625,19.822500,44.24,402,2e-131
3,Boost,23,64.0625,17.762500,46.3,400,7e-131
3,Boost,27,57.8125,13.592500,44.22,400,1e-130
3,Boost,30,53.125,10.615000,42.51,400,2e-130
3,Boost,30,53.125,10.615000,42.51,400,2e-130
3,Boost,23,64.0625,20.042500,44.02,400,2e-130
3,Boost,23,64.0625,20.142500,43.92,400,3e-130
3,Boost,22,65.625,20.975000,44.65,400,3e-130
3,Boost,28,56.25,11.920000,44.33,399,5e-130
3,Boost,28,56.25,11.920000,44.33,399,5e-130
3,Boost,27,57.8125,14.662500,43.15,399,6e-130
3,Boost,27,57.8125,14.662500,43.15,399,6e-130
3,Boost,20,68.75,12.000000,80.75,390,6e-130
3,Boost,31,51.5625,7.232500,44.33,400,8e-130
3,Boost,31,51.5625,7.232500,44.33,400,8e-130
3,Boost,26,59.375,14.425000,44.95,398,9e-130
3,Boost,28,56.25,13.050000,43.2,398,1e-129
3,Boost,25,60.9375,17.417500,43.52,398,2e-129
3,Boost,25,60.9375,16.827500,44.11,397,2e-129
3,Boost,22,65.625,21.695000,43.93,397,4e-129
3,Boost,24,62.5,18.660000,43.84,397,4e-129
3,Boost,25,60.9375,17.237500,43.7,396,5e-129
3,Boost,23,64.0625,20.022500,44.04,396,5e-129
3,Boost,26,59.375,15.535000,43.84,396,6e-129
3,Boost,26,59.375,15.535000,43.84,396,6e-129
3,Boost,23,64.0625,20.132500,43.93,396,6e-129
3,Boost,24,62.5,17.310000,45.19,396,7e-129
3,Boost,28,56.25,12.930000,43.32,396,7e-129
3,Boost,24,62.5,18.570000,43.93,396,8e-129
3,Boost,25,60.9375,18.817500,42.12,397,8e-129
3,Boost,23,64.0625,20.132500,43.93,396,8e-129
3,Boost,23,64.0625,20.132500,43.93,396,8e-129
3,Boost,23,64.0625,20.132500,43.93,396,8e-129
3,Boost,26,59.375,15.655000,43.72,396,8e-129
3,Boost,26,59.375,15.855000,43.52,396,9e-129
3,Boost,31,51.5625,7.842500,43.72,395,1e-128
3,Boost,24,62.5,18.780000,43.72,396,1e-128
3,Boost,24,62.5,17.510000,44.99,395,1e-128
3,Boost,24,62.5,17.510000,44.99,395,1e-128
3,Boost,24,62.5,17.510000,44.99,395,1e-128
3,Boost,29,54.6875,10.967500,43.72,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,22,65.625,21.695000,43.93,395,1e-128
3,Boost,31,51.5625,7.842500,43.72,395,1e-128
3,Boost,31,51.5625,7.842500,43.72,395,1e-128
3,Boost,20,68.75,25.030000,43.72,395,1e-128
3,Boost,24,62.5,17.080000,45.42,395,1e-128
3,Boost,28,56.25,12.350000,43.9,395,1e-128
3,Boost,28,56.25,12.350000,43.9,395,1e-128
3,Boost,26,59.375,15.655000,43.72,395,1e-128
3,Boost,26,59.375,15.445000,43.93,395,1e-128
3,Boost,28,56.25,12.320000,43.93,395,2e-128
3,Boost,20,68.75,24.820000,43.93,395,2e-128
3,Boost,21,67.1875,23.257500,43.93,395,2e-128
3,Boost,19,70.3125,26.382500,43.93,395,3e-128
3,Boost,19,70.3125,26.382500,43.93,395,3e-128
3,Boost,19,70.3125,26.382500,43.93,395,3e-128
3,Boost,27,57.8125,13.952500,43.86,394,3e-128
3,Boost,27,57.8125,13.972500,43.84,394,3e-128
3,Boost,21,67.1875,23.147500,44.04,394,3e-128
3,Boost,28,56.25,12.530000,43.72,394,4e-128
3,Boost,29,54.6875,11.367500,43.32,394,4e-128
3,Boost,29,54.6875,10.967500,43.72,394,5e-128
3,Boost,25,60.9375,17.217500,43.72,394,5e-128
3,Boost,23,64.0625,20.362500,43.7,394,5e-128
3,Boost,23,64.0625,20.362500,43.7,394,5e-128
3,Boost,26,59.375,16.425000,42.95,394,5e-128
3,Boost,28,56.25,12.530000,43.72,394,6e-128
3,Boost,25,60.9375,17.217500,43.72,394,6e-128
3,Boost,28,56.25,12.140000,44.11,394,6e-128
3,Boost,17,73.4375,29.537500,43.9,394,6e-128
3,Boost,24,62.5,18.980000,43.52,394,7e-128
3,Boost,25,60.9375,17.707500,43.23,394,7e-128
3,Boost,30,53.125,10.935000,42.19,395,7e-128
3,Boost,30,53.125,10.935000,42.19,395,7e-128
3,Boost,23,64.0625,20.232500,43.83,393,8e-128
3,Boost,25,60.9375,17.617500,43.32,393,8e-128
3,Boost,23,64.0625,20.542500,43.52,393,1e-127
3,Boost,22,65.625,21.725000,43.9,393,1e-127
3,Boost,28,56.25,11.210000,45.04,392,1e-127
3,Boost,25,60.9375,17.617500,43.32,392,2e-127
3,Boost,27,57.8125,14.282500,43.53,392,2e-127
3,Boost,26,59.375,15.045000,44.33,392,3e-127
3,Boost,27,57.8125,14.432500,43.38,392,3e-127
3,Boost,27,57.8125,14.262500,43.55,392,3e-127
3,Boost,27,57.8125,14.262500,43.55,392,3e-127
3,Boost,21,67.1875,23.667500,43.52,392,3e-127
3,Boost,27,57.8125,15.452500,42.36,392,4e-127
3,Boost,23,64.0625,20.542500,43.52,392,4e-127
3,Boost,24,62.5,19.070000,43.43,391,4e-127
3,Boost,15,76.5625,32.862500,43.7,392,5e-127
3,Boost,24,62.5,18.780000,43.72,391,6e-127
3,Boost,26,59.375,14.835000,44.54,391,6e-127
3,Boost,25,60.9375,17.617500,43.32,391,6e-127
3,Boost,26,59.375,15.695000,43.68,390,6e-127
3,Boost,22,65.625,22.195000,43.43,391,7e-127
3,Boost,22,65.625,22.195000,43.43,391,7e-127
3,Boost,27,57.8125,14.132500,43.68,390,8e-127
3,Boost,24,62.5,18.850000,43.65,390,9e-127
3,Boost,25,60.9375,17.417500,43.52,390,1e-126
3,Boost,25,60.9375,17.417500,43.52,390,1e-126
3,Boost,25,60.9375,16.607500,44.33,390,1e-126
3,Boost,22,65.625,20.615000,45.01,390,2e-126
3,Boost,26,59.375,16.055000,43.32,390,2e-126
3,Boost,24,62.5,19.960000,42.54,389,4e-126
3,Boost,25,60.9375,17.817500,43.12,389,4e-126
3,Boost,25,60.9375,17.817500,43.12,389,4e-126
3,Boost,25,60.9375,17.817500,43.12,389,5e-126
3,Boost,22,65.625,21.675000,43.95,389,6e-126
3,Boost,21,67.1875,23.867500,43.32,388,1e-125
3,Boost,22,65.625,23.295000,42.33,388,1e-125
3,Boost,25,60.9375,18.317500,42.62,388,2e-125
3,Boost,32,50.0,7.790000,42.21,387,2e-125
3,Boost,26,59.375,16.025000,43.35,387,4e-125
3,Boost,25,60.9375,17.967500,42.97,386,6e-125
3,Boost,21,67.1875,24.067500,43.12,386,6e-125
3,Boost,22,65.625,15.235000,50.39,381,1e-124
3,Boost,24,62.5,19.990000,42.51,385,2e-124
3,Boost,26,59.375,16.935000,42.44,385,2e-124
3,Boost,29,54.6875,11.317500,43.37,384,5e-124
3,Boost,29,54.6875,11.317500,43.37,384,5e-124
3,Boost,26,59.375,15.715000,43.66,384,5e-124
3,Boost,24,62.5,17.590000,44.91,386,1e-123
3,Boost,23,64.0625,18.572500,45.49,381,1e-123
3,Boost,28,56.25,11.450000,44.8,382,2e-123
3,Boost,29,54.6875,11.457500,43.23,381,5e-123
