preprocessing time, sequence, query length, query numeration, query time
31.32,AG7,10000,query1,0.0718
31.81,AG7,10000,query2,0.1417
45.50,AG7,10000,query3,0.1032
29.48,AG7,10000,query4,0.0843
40.18,AG7,1000,query0,0.0217
30.24,AG7,1000,query1,0.0175
45.74,AG7,1000,query2,0.0148
37.75,AG7,1000,query3,0.0165
31.73,AG7,1000,query4,0.0173
3.96,CV,100000,query0,1.1473
0.09,CV,100000,query1,0.8554
0.08,CV,100000,query2,0.8982
0.08,CV,100000,query3,0.8648
0.08,CV,100000,query4,0.8410
0.08,CV,10000,query0,0.1502
0.08,CV,10000,query1,0.0896
0.08,CV,10000,query2,0.1235
0.08,CV,10000,query3,0.1153
0.08,CV,10000,query4,0.1352
0.08,CV,1000,query0,0.1061
0.08,CV,1000,query1,0.0184
0.08,CV,1000,query2,0.0082
0.09,CV,1000,query3,0.0171
0.08,CV,1000,query4,0.0057
4.17,EC,100000,query0,0.6430
0.09,EC,100000,query1,0.5932
0.09,EC,100000,query2,0.6073
0.09,EC,100000,query3,0.4834
0.08,EC,100000,query4,0.5216
0.09,EC,10000,query0,0.0581
0.09,EC,10000,query1,0.0504
0.08,EC,10000,query2,0.0578
0.09,EC,10000,query3,0.0511
0.09,EC,10000,query4,0.0617
0.08,EC,1000,query0,0.0116
0.08,EC,1000,query1,0.0091
0.08,EC,1000,query2,0.0076
0.09,EC,1000,query3,0.0076
0.09,EC,1000,query4,0.0281
4.37,O,100000,query0,12.2485
0.09,O,100000,query1,0.8666
0.09,O,100000,query2,0.7586
0.09,O,100000,query3,12.0709
0.09,O,100000,query4,12.0308
0.09,O,10000,query0,0.1143
0.09,O,10000,query1,0.0709
0.09,O,10000,query2,0.1053
0.09,O,10000,query3,0.0789
0.09,O,10000,query4,0.1090
0.09,O,1000,query0,0.0119
0.09,O,1000,query1,0.0099
0.09,O,1000,query2,0.0117
0.09,O,1000,query3,0.0142
0.09,O,1000,query4,0.0179
4.09,Sh,100000,query0,0.5876
0.09,Sh,100000,query1,0.7411
0.08,Sh,100000,query2,0.6305
0.08,Sh,100000,query3,0.6958
0.08,Sh,100000,query4,0.7120
0.08,Sh,10000,query0,0.0459
0.08,Sh,10000,query1,0.0730
0.08,Sh,10000,query2,0.1845
0.08,Sh,10000,query3,0.0615
0.08,Sh,10000,query4,0.0813
0.08,Sh,1000,query0,0.0225
0.08,Sh,1000,query1,0.0064
0.08,Sh,1000,query2,0.0072
0.08,Sh,1000,query3,0.0914
0.08,Sh,1000,query4,0.0052
